VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A005747,Nisamox 250 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4222,2022-07-11,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138839.PDF
A012162,Nisamox 250 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4222,2022-07-11,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138839.PDF
A012163,Nisamox 50 mg Tablets for Dogs and Cats,Norbrook Laboratories Limited,02000/4223,2022-07-11,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138840.PDF
A005736,Nisamox 50 mg Tablets for Dogs and Cats,Norbrook Laboratories Limited,02000/4223,2022-07-11,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138840.PDF
A005766,Carprieve 5% w/v Small Animal Solution for Injection,Norbrook Laboratories Limited,02000/4229,2024-02-19,National,United Kingdom,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_143658.PDF
A006355,Dunlop's 100% v/v Water for Injections Solvent for Parenteral Use,Norbrook Laboratories Limited,02000/4237,2022-07-11,National (Informed Consent),United Kingdom,Water For Injections,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138528.PDF
A006026,Ampredclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,02000/4240,2020-12-09,National,United Kingdom,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140571.PDF
A006098,Equinixin 25 mg/g Granules for Horses,Norbrook Laboratories Limited,02000/4241,2020-04-17,Mutually Recognised,,Flunixin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_150122.PDF
A006199,Norocarp 5.0% w/v Large Animal Solution for Injection,Norbrook Laboratories Limited,02000/4246,2022-07-11,National,United Kingdom,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_146698.PDF
A006302,Carprogesic 20 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4248,2019-07-04,Mutually Recognised,,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_152411.PDF
A006303,Carprogesic 50 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4249,2019-07-04,Mutually Recognised,,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_152500.PDF
A006495,Duphacort Q 0.2% w/v Solution for Injection,Norbrook Laboratories Limited,02000/4255,2022-07-28,National (Informed Consent),United Kingdom,Dexamethasone Sodium Phosphate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138747.PDF
A006609,Nisamox Palatable Tablets 500 mg for Dogs,Norbrook Laboratories Limited,02000/4260,2022-07-11,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_197988.PDF
A012164,Nisamox Palatable Tablets 500 mg for Dogs,Norbrook Laboratories Limited,02000/4260,2022-07-11,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_197988.PDF
A006801,Norodyl 20 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4265,2020-06-24,Mutually Recognised,,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_165447.PDF
A006803,Norodyl 50 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4266,2020-06-24,Mutually Recognised,,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_165448.PDF
A006819,Carprogesic 50mg/ml Small Animal Solution for Injection for Cats and Dogs,Norbrook Laboratories Limited,02000/4267,2022-07-11,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_188087.PDF
A011519,Carprogesic 50mg/ml Small Animal Solution for Injection for Cats and Dogs,Norbrook Laboratories Limited,02000/4267,2022-07-11,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_188087.PDF
A006818,Reproval 50mg/ml Solution for Injection for Dogs and Cats,Norbrook Laboratories Limited,02000/4268,2022-07-11,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_188086.PDF
A012413,Reproval 50mg/ml Solution for Injection for Dogs and Cats,Norbrook Laboratories Limited,02000/4268,2022-07-11,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_188086.PDF
A006894,Noromectin Premix 6 mg/g Premix for Medicated Feeding Stuff for Swine,Norbrook Laboratories Limited,02000/4272,2020-04-17,Mutually Recognised,,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_169174.PDF
A007082,Norocarp 50 mg/ml Solution for Injection for Cattle and Horses,Norbrook Laboratories Limited,02000/4277,2022-10-04,National,United Kingdom,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_249726.PDF
A007315,Cefenil 50mg/ml Powder and Solvent for Solution for Injection for Cattle and Pigs,Norbrook Laboratories Limited,02000/4278,2021-04-14,National,Great Britain,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_254809.PDF
A011535,Cefenil 50mg/ml Powder and Solvent for Solution for Injection for Cattle and Pigs,Norbrook Laboratories Limited,02000/4278,2021-04-14,Mutually Recognised,Northern Ireland,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_254809.PDF
A007303,Carprogesic 100 mg Tablets for Dogs,Norbrook Laboratories Limited,02000/4281,2020-06-24,Mutually Recognised,,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_244457.PDF
A007324,Duphacycline 10% w/v Solution for Injection,Norbrook Laboratories Limited,02000/4285,2019-10-02,National (Informed Consent),United Kingdom,Oxytetracycline Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_217548.PDF
A007367,Magnidown 25% w/v Solution for Injection,Norbrook Laboratories Limited,02000/4287,2022-07-11,National (Informed Consent),United Kingdom,Magnesium Sulphate Heptahydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_219412.PDF
A007599,Wormazole 440 mg Granules for Dogs,Norbrook Laboratories Limited,02000/4296,2022-07-11,National,United Kingdom,Fenbendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_265253.PDF
A007600,Wormazole 880 mg Granules for Dogs,Norbrook Laboratories Limited,02000/4297,2022-07-11,National,United Kingdom,Fenbendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_265252.PDF
A007699,Norotril Max 100 mg/ml Solution for Injection for Cattle,Norbrook Laboratories Limited,02000/4302,2022-07-11,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_293416.PDF
A012204,Norotril Max 100 mg/ml Solution for Injection for Cattle,Norbrook Laboratories Limited,02000/4302,2022-07-11,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_293416.PDF
A011509,Carprieve 20 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4303,2022-07-11,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308800.PDF
A007806,Carprieve 20 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4303,2022-07-11,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308800.PDF
A007807,Carprieve 50 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4304,2022-07-11,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308803.PDF
A011510,Carprieve 50 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4304,2022-07-11,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308803.PDF
A011507,Carprieve 100 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4305,2022-07-11,Mutually Recognised,Northern Ireland,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308806.PDF
A007808,Carprieve 100 mg Flavoured Tablets for Dogs,Norbrook Laboratories Limited,02000/4305,2022-07-11,National,Great Britain,Carprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_308806.PDF
A007784,"Cefenil 50mg/ml Powder and Solvent for Solution for Injection for Cattle, Pigs and Horses",Norbrook Laboratories Limited,02000/4306,2023-06-15,National,United Kingdom,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_401302.PDF
A007868,Closiver 5 mg/ml + 200 mg/ml Pour-on Solution for Cattle,Norbrook Laboratories Limited,02000/4311,2020-04-17,Mutually Recognised,,"Closantel, Ivermectin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_315271.PDF
A012194,Noroclav 50 mg Chewable Flavoured Tablets for Cats and Dogs,Norbrook Laboratories Limited,02000/4317,2021-06-09,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359556.PDF
A008193,Noroclav 50 mg Chewable Flavoured Tablets for Cats and Dogs,Norbrook Laboratories Limited,02000/4317,2021-06-09,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359556.PDF
A008194,Noroclav 250 mg Chewable Flavoured Tablets for Cats and Dogs,Norbrook Laboratories Limited,02000/4318,2021-06-09,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359552.PDF
A012192,Noroclav 250 mg Chewable Flavoured Tablets for Cats and Dogs,Norbrook Laboratories Limited,02000/4318,2021-06-09,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359552.PDF
A012196,Noroclav 500 mg Chewable Flavoured Tablets for Dogs ,Norbrook Laboratories Limited,02000/4319,2021-06-09,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359560.PDF
A008195,Noroclav 500 mg Chewable Flavoured Tablets for Dogs ,Norbrook Laboratories Limited,02000/4319,2021-06-09,National,Great Britain,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_359560.PDF
A008334,Marbonor SOLO 100 mg/ml Solution for Injection for Cattle,Norbrook Laboratories Limited,02000/4332,2019-07-04,Mutually Recognised,,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_416913.PDF
A008430,Noreprinec 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,Norbrook Laboratories Limited,02000/4341,2022-07-11,National,Great Britain,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_444100.PDF
A012188,Noreprinec 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,Norbrook Laboratories Limited,02000/4341,2022-07-11,Mutually Recognised,Northern Ireland,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_444100.PDF
A012186,Norbonex 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,Norbrook Laboratories Limited,02000/4342,2022-07-11,Mutually Recognised,Northern Ireland,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_607569.PDF
A008431,Norbonex 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,Norbrook Laboratories Limited,02000/4342,2022-07-11,National,Great Britain,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_607569.PDF
A008432,Eprivet 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,Norbrook Laboratories Limited,02000/4343,2020-04-17,Mutually Recognised,,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_444176.PDF
A011312,"Aloquan, 18.7 mg/g + 140.3 mg/g Oral Paste for Horses",Norbrook Laboratories Limited,02000/4366,2022-07-11,Mutually Recognised,Northern Ireland,"Ivermectin, Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_505118.PDF
A008608,"Aloquan, 18.7 mg/g + 140.3 mg/g Oral Paste for Horses",Norbrook Laboratories Limited,02000/4366,2022-07-11,National,Great Britain,"Ivermectin, Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_505118.PDF
A008755,Noroclav 75 mg Chewable Flavoured Tablets for Cats and Dogs,Norbrook Laboratories Limited,02000/4380,2020-04-17,Mutually Recognised,,"Amoxicillin, Clavulanic Acid",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_578562.PDF
A007575,Bob Martin Clear Wormer 880 mg Granules for Dogs,Norbrook Laboratories Limited,02000/4386,2022-07-11,National (Informed Consent),United Kingdom,Fenbendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_265258.PDF
A009076,"NorOtic Ear Drops, Suspension for Dogs",Norbrook Laboratories Limited,02000/4391,2019-09-02,Mutually Recognised,,"Clotrimazole, Dexamethasone, Marbofloxacin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_819720.PDF
A004015,Tectomec 5 mg/ml Pour on Solution,Norbrook Laboratories Limited,02000/4394,2024-02-19,National (Informed Consent),United Kingdom,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_115401.PDF
A009405,Flukenil 50mg/ml Oral Suspension for Sheep,Norbrook Laboratories Limited,02000/4401,2020-12-09,National,United Kingdom,Closantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1027135.PDF
A012234,Paraclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,02000/4426,2022-07-11,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1459265.PDF
A009974,Paraclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,02000/4426,2022-07-11,National,Great Britain,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1459265.PDF
A008018,Loxicom 1 mg Chewable Tablets for Dogs,Norbrook Laboratories Limited,02000/5002,2022-10-04,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008019,Loxicom 2.5 mg Chewable Tablets for Dogs,Norbrook Laboratories Limited,02000/5004,2022-10-04,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008375,Loxicom 50 mg/g Oral Paste for Horses,Norbrook Laboratories Limited,02000/5007,2022-10-04,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A003363,Megodine 1:3 Concentrate Teat Dip and Teat Spray Solution 2.15% w/v,Evans Vanodine International Plc,03940/4049,2021-08-31,National (Informed Consent),United Kingdom,Available Iodine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127024.PDF
A003367,Genus High Emollient 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4051,2021-08-31,National (Informed Consent),United Kingdom,Available Iodine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_116689.PDF
A005013,Megorex 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4065,2021-08-31,National (Informed Consent),United Kingdom,Chlorhexidine Gluconate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127021.PDF
A005403,Hexodip Extra 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4083,2021-09-02,National (Informed Consent),United Kingdom,Chlorhexidine Gluconate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132420.PDF
A006134,Leyodip 2.15% w/v Concentrate Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4094,2021-08-31,National (Informed Consent),United Kingdom,Available Iodine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124355.PDF
A007352,3TX 1:3 2.15% w/v Concentrate for Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4098,2021-08-31,National (Informed Consent),United Kingdom,Available Iodine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_248313.PDF
A007649,Golden 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,Evans Vanodine International Plc,03940/4099,2021-08-31,National (Informed Consent),United Kingdom,Iodine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_268843.PDF
A000123,ZincoTec Zinc Oxide 1000 mg/g Premix for Medicated Feeding Stuff,SCA NuTec (Provimi Ltd),03941/4000,2021-12-02,National,Great Britain,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138755.PDF
A012683,ZincoTec Zinc Oxide 1000 mg/g Premix for Medicated Feeding Stuff,SCA NuTec (Provimi Ltd),03941/4000,2021-12-02,Mutually Recognised,Northern Ireland,Zinc Oxide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138755.PDF
A008088,"Aftovaxpur DOE Emulsion for Injection for Cattle, Sheep and Pigs",Boehringer Ingelheim Vetmedica Gmbh,04491/5002,2023-02-23,National,Great Britain,Foot-and-mouth disease virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A006187,Novem 20 mg/ml Solution for Injection for Cattle and Pigs,Boehringer Ingelheim Vetmedica Gmbh,04491/5036,2021-08-11,National (Informed Consent),Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A009755,Novem 40 mg/ml Solution for Injection for Cattle,Boehringer Ingelheim Vetmedica Gmbh,04491/5037,2021-08-11,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A006186,Novem 5 mg/ml Solution for Injection for Cattle and Pigs,Boehringer Ingelheim Vetmedica Gmbh,04491/5038,2021-08-11,National (Informed Consent),Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A005379,Bob Martin 15% w/w Flea and Tick Collar for Dogs over 12 weeks old,Virbac,05653/4091,2020-11-18,National (Informed Consent),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140901.PDF
A05341,Johnson's Flea Guard Collar for Cats,Virbac,05653/4093,2020-11-18,National (Informed Consent),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139833.PDF
A05339,Bob Martin 15% w/w Flea Collar for Cats,Virbac,05653/4097,2020-11-18,National (Informed Consent),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138613.PDF
A005402,Johnson's Flea-Guard Waterproof Flea and Tick 15% w/w Collar for Large Dogs,Virbac,05653/4099,2020-11-18,National (Informed Consent),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_171702.PDF
A005398,Johnson's Flea-Guard Waterproof Flea and Tick 15% w/w Collar for Dogs,Virbac,05653/4100,2020-11-18,National (Informed Consent),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141123.PDF
A003343,Romidys 1 mg/ml Solution for Injection,Virbac,05653/4126,2020-10-05,Mutually Recognised,,Romifidine Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126110.PDF
A007217,"Powerflox 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",Virbac,05653/4146,2021-10-18,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_230237.PDF
A012320,"Powerflox 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",Virbac,05653/4146,2021-10-18,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_230237.PDF
A012319,Powerflox 100 mg/ml Solution for Injection for Cattle and Pigs,Virbac,05653/4147,2021-10-18,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_230238.PDF
A007218,Powerflox 100 mg/ml Solution for Injection for Cattle and Pigs,Virbac,05653/4147,2021-10-18,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_230238.PDF
A008640,"Stabox 1000 mg/g Powder for Use in Drinking Water for Chickens, Ducks, Turkeys ",Virbac,05653/4207,2023-03-20,National,Great Britain,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_506616.PDF
A012502,"Stabox 1000 mg/g Powder for Use in Drinking Water for Chickens, Ducks, Turkeys ",Virbac,05653/4207,2023-03-20,Mutually Recognised,Northern Ireland,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_506616.PDF
A008457,Kelacyl 100 mg/ml Solution for Injection for Cattle and Pigs,Kela – Kempisch Laboratorium – Kela Laboratoria NV,06126/4006,2024-03-27,National,Great Britain,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_443967.PDF
A012017,Kelacyl 100 mg/ml Solution for Injection for Cattle and Pigs,Kela N.V.,06126/4006,2024-03-27,Mutually Recognised,Northern Ireland,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_443967.PDF
A011541,"Cefokel 50 mg/ml, Suspension for Injection for Pigs and Cattle ",Kela N.V.,06126/4007,2024-03-27,Mutually Recognised,Northern Ireland,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_461387.PDF
A006327,Ivertin 10 mg/ml Solution for Injection for Cattle and Pigs,Kela – Kempisch Laboratorium – Kela Laboratoria NV,06126/4008,2023-06-15,National,Great Britain,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_106482.PDF
A012012,Ivertin 10 mg/ml Solution for Injection for Cattle and Pigs,Kela N.V.,06126/4008,2023-06-15,Mutually Recognised,Northern Ireland,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_106482.PDF
A000057,Navilox 3% w/w Powder for In-Feed Use ,Vetoquinol UK Ltd,08007/4026,2020-12-16,National,United Kingdom,Isoxsuprine Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134964.PDF
A000454,Grisol V Powder 7.5% w/w Oral Powder,Vetoquinol UK Ltd,08007/4032,2020-12-16,National,United Kingdom,Griseofulvin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_112794.PDF
A007733,Kefloril 300 mg/ml Solution for Injection for Cattle and Pigs,Vetoquinol UK Ltd,08007/4123,2019-05-03,Mutually Recognised,,Florfenicol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_290551.PDF
A011544,"Ceftiocyl Fluid 50 mg/ml, Suspension for Injection for Pigs and Cattle",Vetoquinol UK Ltd,08007/4146,2022-03-15,Mutually Recognised,Northern Ireland,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1294654.PDF
A009621,"Ceftiocyl Fluid 50 mg/ml, Suspension for Injection for Pigs and Cattle",Vetoquinol UK Ltd,08007/4146,2022-03-15,National,Great Britain,Ceftiofur,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1294654.PDF
A003603,Trivacton 6,Boehringer Ingelheim Animal Health UK Ltd,08327/4106,2023-06-15,National,United Kingdom,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_160231.PDF
A002462,"Isoflurane-Vet 100% w/w Inhalation Vapour, Liquid",Boehringer Ingelheim Animal Health UK Ltd,08327/4131,2024-02-27,National,United Kingdom,Isoflurane,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141147.PDF
A001497,Eurican L,Boehringer Ingelheim Animal Health UK Ltd,08327/4148,2022-11-14,National,United Kingdom,"Leptospira canicola, Leptospira icterohaemorrhagiae",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141127.PDF
A003104,Bovalto Pastobov,Boehringer Ingelheim Animal Health UK Ltd,08327/4173,2023-06-15,National,Great Britain,Mannheimia haemolytica,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_160224.PDF
A011453,Bovalto Pastobov,Boehringer Ingelheim Animal Health UK Ltd,08327/4173,2023-06-15,Mutually Recognised,Northern Ireland,Mannheimia haemolytica,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_160224.PDF
A003230,Ivomec Injection for Pigs (Ivermectin),Boehringer Ingelheim Animal Health UK Ltd,08327/4179,2021-11-30,National,United Kingdom,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140177.PDF
A003434,Enacard Tablets for Dogs 1 mg,Boehringer Ingelheim Animal Health UK Ltd,08327/4194,2021-03-17,National,United Kingdom,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139130.PDF
A003435,Enacard Tablets for Dogs 2.5 mg,Boehringer Ingelheim Animal Health UK Ltd,08327/4195,2021-03-17,National,United Kingdom,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139131.PDF
A003433,Enacard Tablets for Dogs 5 mg,Boehringer Ingelheim Animal Health UK Ltd,08327/4196,2021-03-17,National,United Kingdom,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139132.PDF
