VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A005030,Progressis Emulsion for Injection for Pigs (Sows and Gilts),Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5054,2000-09-21,National,Great Britain,Porcine respiratory and reproductive syndrome virus,N,Pigs,POM-V,Emulsion for injection,Inactivated Viral Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_122133.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_570799.PDF
A007020,"Vetergesic Multidose, 0.3mg/ml, Solution for Injection for Dogs and Cats",Ceva Animal Health Ltd,<span>Ceva Animal Health Limited</span>,15052/5055,2008-04-11,National,Great Britain,Buprenorphine,3,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_208491.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_260465.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_278099.PDF
A006534,"Ovarelin 50 µg/ml, Solution for Injection for Cattle",Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5058,2006-04-28,National,Great Britain,Gonadorelin,N,Cattle,POM-V,Solution for injection,Hormone sex,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_153790.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1483558.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_420049.PDF
A007499,Carprodyl Quadri 120 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5059,2010-02-04,National,Great Britain,Carprofen,N,Dogs,POM-V,Chewable tablet,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_262886.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986429.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_299455.PDF
A006888,Carprodyl Quadri 50 mg Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5060,2008-01-31,National,Great Britain,Carprofen,N,Dogs,POM-V,Tablet,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_204192.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_292596.PDF
A008214,Prilactone Next 10 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5063,2012-08-08,National,Great Britain,Spironolactone,N,Dogs,POM-V,Chewable tablet,Cardio Vascular diuretic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_393139.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995498.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_449752.PDF
A008215,Prilactone Next 50 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5064,2012-08-08,National,Great Britain,Spironolactone,N,Dogs,POM-V,Chewable tablet,Cardio Vascular diuretic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_393153.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995498.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_449759.PDF
A008216,Prilactone Next 100 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5065,2012-08-08,National,Great Britain,Spironolactone,N,Dogs,POM-V,Chewable tablet,Cardio Vascular diuretic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_393150.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995498.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_449745.PDF
A008032,Kesium 40 mg / 10 mg Chewable Tablets for Cats and Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5066,2011-10-05,National,Great Britain,"Amoxicillin, Clavulanic Acid",N,"Cats, Dogs",POM-V,Chewable tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_328860.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_502076.PDF
A008035,Kesium 50 mg / 12.5 mg Chewable Tablets for Cats and Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5067,2011-10-05,National,Great Britain,"Amoxicillin, Clavulanic Acid",N,"Cats, Dogs",POM-V,Chewable tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_328881.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_437400.PDF
A008033,Kesium 200 mg / 50 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5068,2011-10-05,National,Great Britain,"Amoxicillin, Clavulanic Acid",N,Dogs,POM-V,Chewable tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_328855.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_405300.PDF
A008034,Kesium 400 mg / 100 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5069,2011-10-05,National,Great Britain,"Amoxicillin, Clavulanic Acid",N,Dogs,POM-V,Chewable tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_328867.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_405305.PDF
A008575,Kesium 500 mg / 125 mg Chewable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5070,2013-10-24,National,Great Britain,"Amoxicillin, Clavulanic Acid",N,Dogs,POM-V,Chewable tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_471378.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_744066.PDF
A007375,Altresyn 4 mg/ml Oral Solution for Pigs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5071,2009-02-17,National,Great Britain,Altrenogest,N,Pigs,POM-V,Oral solution,Hormone sex,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_227884.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_418454.PDF
A006764,Therios 300 mg Palatable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5072,2009-02-27,National,Great Britain,Cefalexin,N,Dogs,POM-V,Tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_240690.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_402216.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260591.PDF
A007264,Therios 750 mg Palatable Tablets for Dogs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5073,2009-02-27,National,Great Britain,Cefalexin,N,Dogs,POM-V,Tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_240692.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_402216.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_402234.PDF
A009081,Coglapix Suspension for Injection for Pigs,Ceva Animal Health Ltd,<span>Ceva Animal Health Ltd</span>,15052/5077,2015-10-21,National,Great Britain,Actinobacillus pleuropneumoniae,N,Pigs,POM-V,Suspension for injection,Inactivated Bacterial Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_864149.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_916274.PDF
A007606,Cartrophen Vet 100 mg/ml Solution for Injection for Dogs,Arthropharm Europe Ltd,<span>Arthropharm (Europe) Ltd</span>,15519/4001,2009-09-07,National (Informed Consent),United Kingdom,Pentosan Polysulphate Sodium,N,Dogs,POM-V,Solution for injection,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_260236.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357329.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_261512.PDF
A006809,Anarthron 100 mg/mL Solution for Injection for Dogs,Arthropharm Europe Ltd,<span>Forte Healthcare Ltd</span>,15519/4002,2007-05-01,National,Great Britain,Pentosan Polysulphate Sodium,N,Dogs,POM-V,Solution for injection,Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_176337.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_277795.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_400930.PDF
A011345,Anarthron 100 mg/mL Solution for Injection for Dogs,Arthropharm Europe Ltd,<span>Forte Healthcare Ltd</span>,15519/4002,2007-05-01,Mutually Recognised,Northern Ireland,Pentosan Polysulphate Sodium,N,Dogs,POM-V,Solution for injection,Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_176337.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_277795.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_400930.PDF
A002626,Deosan Super Iodip Iodine 2% w/v Concentrate Teat Dip and Teat Spray Solution,Diversey Ltd,<span>Johnson-Diversey UK Ltd</span>,15985/4007,1984-06-06,National,United Kingdom,Iodine,N,Cattle,AVM-GSL,Teat dip/spray solution,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136473.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_540457.PDF
A002609,Deosan Teatcare Plus 0.425% w/w Teat Dip and Teat Spray Emulsion,Diversey Ltd,<span>DiverseyLever Ltd</span>,15985/4009,1987-06-10,National,United Kingdom,Chlorhexidine Gluconate,N,Cattle,AVM-GSL,Teat dip emulsion,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138902.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_540543.PDF
A002611,Deosan Super Excel 0.52% w/v Teat Dip and Spray Solution,Diversey Ltd,<span>Johnson-Diversey UK Ltd</span>,15985/4012,1984-06-06,National,United Kingdom,Iodine,N,Cattle,AVM-GSL,Teat dip/spray solution,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135119.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_540449.PDF
A002956,Iodine 2% w/v Concentrate for Teat Dip and Spray Solution,Diversey Ltd,<span>Mole Valley Farmers Ltd</span>,15985/4022,1998-02-11,National (Informed Consent),United Kingdom,Iodine,N,Cattle,AVM-GSL,Teat dip/spray solution,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137986.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_548750.PDF
A003223,Star Iodocare Concentrate Teat Dip and Teat Spray Solution 2.00% w/v,Diversey Ltd,<span>Johnson-Diversey UK Ltd</span>,15985/4025,1998-08-24,National (Informed Consent),United Kingdom,Available Iodine,N,Cattle,AVM-GSL,Teat dip/spray solution,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138142.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_574674.PDF
A007042,MV Iodine (0.52% w/v) RTU Teat Dip and Teat Spray Solution,Diversey Ltd,<span>Johnson-Diversey UK Ltd</span>,15985/4033,2008-03-04,National (Informed Consent),United Kingdom,Iodine,N,Cattle,AVM-GSL,Teat dip/spray solution,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_206043.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_356413.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_439694.PDF
A04952,Lethobarb 20% w/v Solution for Injection,Ayrton Saunders Limited,<span>Fort Dodge Animal Health</span>,16431/5000,1998-08-31,National (Informed Consent),Great Britain,Pentobarbital Sodium,3,All species,POM-V,Solution for injection,Neurological Agent euthanasia agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136706.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_554333.PDF
A001220,Pentobarbital for Euthanasia 20% w/v Solution for Injection,Ayrton Saunders Limited,<span>Pharmasol Ltd</span>,16431/5001,1993-08-31,National,Great Britain,Pentobarbital Sodium,3,All species,POM-V,Solution for injection,Neurological Agent euthanasia agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_128787.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_566618.PDF
A005728,Phenylbutazone Tablets 200 mg,Ayrton Saunders Limited,<span>J.M. Loveridge plc</span>,16431/5002,1998-04-26,National (Informed Consent),Great Britain,Phenylbutazone,N,Dogs,POM-V,Tablet,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_93946.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_566446.PDF
A001297,Piperazine Citrate Worm Tablets,Ayrton Saunders Limited,<span>J.M. Loveridge plc</span>,16431/5003,1994-10-14,National,Great Britain,Piperazine Citrate,N,"Cats, Dogs",AVM-GSL,Tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_128779.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_566027.PDF
A005308,"Pets with Wilko Cat Felt Flea Collar, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Wilko</span>,16516/4001,2001-06-13,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124081.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584392.PDF
A004528,Pets with Wilko Dog Flea Drops 65% w/w Cutaneous Solution,Sinclair Animal and Household Care Ltd,<span>Wilko</span>,16516/4002,2000-04-19,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 25:75),N,Dogs,AVM-GSL,Cutaneous solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137268.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584396.PDF
A000291,"Beaphar Cat Flea Spray, Cutaneous Spray Solution",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4004,1991-06-06,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Cats,AVM-GSL,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_130054.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_513991.PDF
A001256,"Beaphar Dog Flea Spray, Cutaneous Spray Solution",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4005,1991-06-06,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_130056.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_514340.PDF
A005174,"Pets with Wilko One Dose Worming Tablets for Dogs, 500 mg Film-coated Tablets",Sinclair Animal and Household Care Ltd,<span>Wilko</span>,16516/4006,2001-03-02,National (Informed Consent),United Kingdom,Nitroscanate,N,Dogs,AVM-GSL,Film-coated tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123982.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584410.PDF
A05322,Pets with Wilko Insecticidal Dog Shampoo,Sinclair Animal and Household Care Ltd,<span>Wilko</span>,16516/4010,2001-10-19,National (Informed Consent),United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,Shampoo,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124068.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584409.PDF
A005173,"Pets with Wilko One Dose Worming Tablets for Small Dogs and Puppies, 100 mg Film-coated Tablets",Sinclair Animal and Household Care Ltd,<span>Wilko</span>,16516/4013,2001-03-07,National (Informed Consent),United Kingdom,Nitroscanate,N,Dogs,AVM-GSL,Film-coated tablet,Anthelmintic anticestodal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123983.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584413.PDF
A005201,"Beaphar Soft Cat Flea Collar Twin Pack, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4015,2001-02-23,National (Informed Consent),United Kingdom,Permethrin (cis:trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124083.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_527619.PDF
A000449,"Johnson's Felt Cat Flea Collar, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Johnson's Veterinary Products Ltd</span>,16516/4017,1991-11-21,National,United Kingdom,Permethrin (cis:trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124074.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_548805.PDF
A000290,"Johnson's Dog Flea Pump Spray, Cutaneous Solution",Sinclair Animal and Household Care Ltd,<span>Johnson's Veterinary Products Ltd</span>,16516/4019,1991-06-06,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123999.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_549742.PDF
A005425,"Beaphar Worming Granules for Cats and Kittens, 222 mg/g",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4020,2002-01-08,National (Informed Consent),United Kingdom,Fenbendazole,N,Cats,AVM-GSL,Granules,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123980.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_527666.PDF
A000429,"Beaphar Soft Cat Flea Collar, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4022,1991-11-21,National,United Kingdom,Permethrin (cis:trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124082.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_527631.PDF
A001262,"Johnson's Cat Flea Pump Spray, Cutaneous Spray Solution",Sinclair Animal and Household Care Ltd,<span>Johnson's Veterinary Products Ltd</span>,16516/4024,1991-06-06,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Cats,AVM-GSL,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123998.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_549711.PDF
A005424,"Beaphar Worming Granules for Dogs and Puppies, 666 mg/sachet",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4025,2002-01-08,National (Informed Consent),United Kingdom,Fenbendazole,N,Dogs,AVM-GSL,Granules,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123981.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_527680.PDF
A000334,Beaphar Dog Flea Shampoo,Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4026,1992-01-18,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,Shampoo,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124069.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_514339.PDF
A000448,"Armitage Pet Care Felt Flea Collar, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Armitage Bros Ltd</span>,16516/4027,1991-11-25,National,United Kingdom,Permethrin (cis:trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124078.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_525198.PDF
A006769,Armitage Pet Care Insecticidal Flea Shampoo and Conditioner,Sinclair Animal and Household Care Ltd,<span>Armitage Pet Products Limited</span>,16516/4034,2006-06-05,National (Informed Consent),United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,Shampoo,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_155810.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_353583.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260390.PDF
A007470,"Canac Soft Flea Collar for Cats, 18% w/w",Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4035,2009-04-21,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_246819.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_357309.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_364457.PDF
A009159,"PetStar Soft Flea Collar, 180 mg/g, Medicated Collar",Sinclair Animal and Household Care Ltd,<span>Pet Star UK</span>,16516/4036,2015-04-16,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 40:60),N,Cats,AVM-GSL,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_789641.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_828455.PDF,
A003287,Canac Flea and Tick Spot-on Solution 742 mg,Sinclair Animal and Household Care Ltd,<span>Sinclair Animal & Household Care Ltd</span>,16516/4083,1998-11-12,National (Informed Consent),United Kingdom,Permethrin (cis:trans 25:75),N,Dogs,AVM-GSL,Cutaneous solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132950.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_514225.PDF
A012416,Revozyn RTU 400 mg/ml Suspension for Injection for Cattle,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3000,2017-07-10,Mutually Recognised,Northern Ireland,"Penethamate Hydriodide, micronised",N,Cattle,POM-V,Suspension for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2346463.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995297.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2346480.PDF
A012161,"Nimatek 100 mg/ml Solution for Injection for Dogs, Cats and Horses ",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/3001,2014-04-16,Mutually Recognised,Northern Ireland,Ketamine,2,"Cats, Dogs, Horses",POM-V,Solution for injection,Neurological Agent general anaesthetic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2346374.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_640889.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2346385.PDF
A011346,"Anesketin 100 mg/ml Solution for Injection for Dogs, Cats and Horses",Eurovet Animal Health B.V.,"<span>Dechra Veterinary Products Ltd
</span>",16849/3002,2013-07-10,Mutually Recognised,Northern Ireland,Ketamine,2,"Cats, Dogs, Horses",POM-V,Solution for injection,Neurological Agent general anaesthetic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_493252.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_511876.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_501975.PDF
A012484,Solacyl 1000 mg/g Powder for Use in Drinking Water for Turkeys,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3003,2017-10-05,Mutually Recognised,Northern Ireland,Sodium Salicylate,N,Turkeys,POM-V,Powder for use in drinking water,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2461720.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1970460.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2461739.PDF
A012485,"Solacyl 1000 mg/g, Powder for Use in Drinking Water/Milk for Cattle and Pigs",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3004,2008-07-28,Mutually Recognised,Northern Ireland,Sodium Salicylate,N,"Cattle, Pigs",POM-V,Powder for oral solution,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2462099.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2462127.PDF
